base_origin,feature,r_mean,r_std,r_full,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_pooled_se,p_adj,bootstrap_p_adj
syn_LEA_1,nardini_Frac A_raw,0.22734462715425208,0.14114464172634403,0.23447826312626002,0.5290153085862793,0.41874608649907763,0.07385063731766925,0.116,59,0.15287880436079304,0.24399671349073074,0.3230743801652893
syn_LEA_1,nardini_Frac C_raw,0.15087737065698228,0.28125573523505387,0.17184547094304914,3.683960589257277,3.4863923672594255,0.5402740735096484,0.61,15,0.20341782520067506,0.7814264496684614,0.82228
syn_LEA_1,nardini_Frac D_raw,0.07346004560185497,0.1320499358118781,0.07098362537275188,1.872582896046537,1.6960718539335242,0.5997887689216492,0.574,57,0.14741721366133093,0.8218482486111126,0.8059916666666666
syn_LEA_1,nardini_Frac E_raw,-0.0726270566391561,0.12523957298151311,-0.07234992807959838,-1.0113750663044792,0.9653985031135103,0.5730947751688673,0.556,63,0.14408461041059095,0.8024720325913117,0.7922706131078225
syn_LEA_1,nardini_Frac F_raw,-0.15095536678429877,0.29229690484944426,-0.1599851183555461,-8.978985655930755,12.487097293942941,0.5689798042286155,0.57,15,0.17632707699055528,0.8024720325913117,0.8054088050314465
syn_LEA_1,nardini_Frac G_raw,0.09146954822362742,0.19133276023907136,0.08630162316288854,1.511795197641745,2.977177486242812,0.6750736643562716,0.63,26,0.1644898830217163,0.8644418202138408,0.8391699604743083
syn_LEA_1,nardini_Frac H_raw,-0.2915282992141114,0.19706972308624737,-0.2952219368441232,-6.151986560152377,7.426678499857731,0.12000021543443559,0.166,29,0.14947461518394314,0.33012304164412076,0.4106810035842294
syn_LEA_1,nardini_Frac I_raw,-0.45118171181136235,0.10365206364503844,-0.4546880219627116,-2.9713613765693068,1.5063604627912703,0.00038056533346268864,0.001,57,0.1590506142520783,0.004750019162108373,0.009768115942028987
syn_LEA_1,nardini_Frac K_raw,0.33721956729526764,0.11804172112756812,0.3385961008282782,1.4857317228950315,0.6392676987718623,0.008139089374631087,0.01,60,0.15460090315925165,0.05211453497348229,0.05760683760683761
syn_LEA_1,nardini_Frac L_raw,-0.6015114585010307,0.07300648396700288,-0.6086231967997106,-6.915325251049115,0.8869978842278634,2.8904462439764035e-08,0.001,69,0.15045612276814815,3.2469346140668264e-06,0.009768115942028987
syn_LEA_1,nardini_Frac M_raw,-0.4009344598659349,0.1252947293110609,-0.40768895911692565,-3.1921036046255216,1.47638507559777,0.002700312725091857,0.002,52,0.15402972638939236,0.02219525337453551,0.016641975308641976
syn_LEA_1,nardini_Frac N_raw,-0.33225052511851666,0.11646569526998363,-0.328754850030184,-2.5988458208416247,1.2236346099348803,0.014259804744811104,0.006,55,0.15329418188288324,0.08009256998335569,0.03964705882352941
syn_LEA_1,nardini_Frac P_raw,-0.2195794520774502,0.18315226273139146,-0.21812369884701974,-1.1950044120964767,2.127808217269799,0.28440640296833614,0.23,26,0.163282639581045,0.5399715932412916,0.4905696202531646
syn_LEA_1,nardini_Frac Q_raw,-0.19872850539759326,0.11912687948981511,-0.19671604415553587,-0.6126520099307495,0.6472417173062064,0.15001335215208697,0.086,55,0.12880967720334688,0.37868539082586744,0.2658899082568807
syn_LEA_1,nardini_Frac R_raw,-0.2815087621627285,0.12971953018617494,-0.28854513457248915,-1.95961955134869,1.204459948983027,0.03434601358991151,0.036,54,0.1569400934228886,0.14630552127701407,0.15755844155844154
syn_LEA_1,nardini_Frac S_raw,0.42969657442360354,0.12100149450691046,0.43546949097116944,2.7352196256909407,0.8512398682377121,0.0024883484536506162,0.001,46,0.1412977493820887,0.02122970706025969,0.009768115942028987
syn_LEA_1,nardini_Frac T_raw,-0.48998740636532284,0.13380339160345686,-0.4978015720628002,-2.5666627897295093,1.558791914558872,0.0003703665939756328,0.001,47,0.1348774828813846,0.004750019162108373,0.009768115942028987
syn_LEA_1,nardini_Frac V_raw,0.041417099781214384,0.12867436018479575,0.043760986471454745,0.23852617142886312,1.282370808610724,0.7487828760979213,0.718,56,0.1418090378961811,0.8980065097686813,0.8823272727272727
syn_LEA_1,nardini_Frac W_raw,0.019120672309903865,0.5973744065463416,0.09107651110783746,-4.870244565845375,13.218952774932294,0.8637629700202579,0.7723577235772358,6,0.12935256126024888,0.934926786465471,0.9037658084914183
syn_LEA_1,nardini_Frac Y_raw,0.4655798798684198,0.37779889384061854,0.5122717640554155,12.137881543289387,9.541015416793305,0.2398053912767625,0.22336065573770492,7,0.1633915387075001,0.4897843446076907,0.4794429362013157
syn_LEA_1,nardini_Frac K+R_raw,0.23186796903503246,0.2227138665104347,0.23321132743030684,0.5899823085964854,0.5756816197294983,0.2323485618669024,0.294,28,0.13803075072906623,0.48583497935417314,0.5594763231197771
syn_LEA_1,nardini_Frac D+E_raw,-0.06179593227267644,0.2160810810780373,-0.050069459772252314,-0.18165019606622143,0.49271865212328636,0.8002513126826497,0.756,28,0.12483613721659322,0.9141853978781456,0.8955079086115993
